"QB","Overall","Player","Team","Bye","ESPN","Yahoo","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","12","Patrick Mahomes II","KC","12","1","1","1","1","1","1","","1.0"
"2","37","Deshaun Watson","CLE","7","2","2","2","2","2","2","","2.0"
"3","47","Aaron Rodgers","GB","11","3","3","3","3","3","3","","3.0"
"4","54","Baker Mayfield","LAR","9","5","4","4","4","4","4","","4.2"
"5","62","Matt Ryan","IND","6","4","6","5","7","5","5","","5.3"
"6","71","Drew Brees","","","6","8","6","9","10","7","","7.0"
"7","72","Carson Wentz","WAS","10","8","9","7","5","6","6","","7.5"
"8","82","Russell Wilson","DEN","10","11","7","8","8","8","10","","8.7"
"9","79","Jared Goff","DET","5","13","12","9","6","7","8","","8.8"
"10","89","Cam Newton ","","","7","10","10","10","9","11","","9.7"
"11","96","Ben Roethlisberger ","","","10","15","11","14","11","16","","12.3"
"12","105","Tom Brady","TB","7","12","14","13","15","17","15","","13.5"
"13","108","Kyler Murray","ARI","12","14","11","18","11","14","12","","13.7"
"14","106","Lamar Jackson","BAL","8","15","13","17","13","13","9","","14.2"
"15","103","Jameis Winston","NO","9","18","16","14","12","12","14","","14.5"
"16","116","Philip Rivers","","","17","18","16","17","15","13","","15.7"
"17","122","Dak Prescott","DAL","8","9","17","15","16","18","17","","16.3"
"18","134","Kirk Cousins","MIN","12","19","24","19","18","16","18","","18.8"
"19","141","Mitch Trubisky","PIT","7","16","23","20","19","19","19","","19.2"
"20","150","Jimmy Garoppolo","SF","4","21","26","21","20","21","21","","20.5"
"21","154","Josh Allen","BUF","6","22","27","22","21","20","20","","21.5"
"22","182","Derek Carr","LV","","20","20","23","23","22","","","22.0"
"23","166","Matthew Stafford","LAR","9 ","24","21","24","22","23","22","","23.0"
"24","195","Nick Foles","IND","6","26","19","27","26","28","","","26.0"
"25","186","Sam Darnold","CAR","7","23","25","25","24","25","","","24.6"
"26","243","Jacoby Brissett","CLE","7","25","22","26","30","27","","","26.0"
"27","229","Marcus Mariota","ATL","9","28","","28","25","26","","","26.8"
"28","273","Joe Flacco","NYJ","4 ","29","","30","31","24","","","28.5"
"29","251","Andy Dalton","NO","9","36","","29","28","29","","","30.5"
"30","317","Eli Manning","","","30","","31","32","30","","","30.8"
"31","282","Dwayne Haskins","","","125","","34","27","31","","","54.3"
"32","320","Daniel Jones","NYG","11","35","","32","38","33","","","34.5"
"33","323","Ryan Fitzpatrick","","","123","","33","34","32","","","55.5"
"34","324","Josh Rosen","MIN","12","128","","","29","35","","","64.0"
"35","338","Case Keenum","BUF","6","127","","","33","34","","","64.7"
"36","","Jay Cutler","","","31","","","","","","","31.0"
"37","","Nathan Peterman","CHI","6","32","","","","","","","32.0"
"38","","Taysom Hill","NO","9","33","","","","","","","33.0"
"39","","Sam Bradford","","","34","","","","","","","34.0"
"40","359","Drew Lock","SEA","11","122","","","35","","","","78.5"
"41","367","Blake Bortles","","","43","","","36","","","","39.5"
"42","371","Ryan Tannehill","TEN","11","124","","","37","","","","80.5"
"43","","Matt Barkley","BUF","6","38","","","","","","","38.0"
"44","","Tyree Jackson","PHI","10","39","","","","","","","39.0"
"45","372","C.J. Beathard","JAC","10","69","","","39","","","","54.0"
"46","","Nick Fitzgerald","","","40","","","","","","","40.0"
"47","385","Garrett Gilbert","NE","10","86","","","40","","","","63.0"
"48","","Carson Palmer","","","41","","","","","","","41.0"
"49","387","Mason Rudolph","PIT","7 ","92","","","41","","","","66.5"
"50","","Kellen Clemens","","","42","","","","","","","42.0"
"51","","Robert Griffin III","","","44","","","","","","","44.0"
"52","","Trace McSorley","ARI","12","45","","","","","","","45.0"
"53","","Matt Cassel","","","46","","","","","","","46.0"
"54","","Teddy Bridgewater","MIA","5","47","","","","","","","47.0"
"55","","Geno Smith","SEA","11","49","","","","","","","49.0"
"56","","Joshua Dobbs","TEN","11","50","","","","","","","50.0"
"57","","Tom Savage","","","51","","","","","","","51.0"
"58","","Matt Moore","","","52","","","","","","","52.0"
"59","","DeShone Kizer","","","53","","","","","","","53.0"
"60","","Chad Kelly","","","54","","","","","","","54.0"
"61","","Ryan Mallett","","","55","","","","","","","55.0"
"62","","Brock Osweiler","","","56","","","","","","","56.0"
"63","","Drew Stanton","","","57","","","","","","","57.0"
"64","","Cooper Rush","DAL","8","58","","","","","","","58.0"
"65","","Chase Daniel","LAC","12","59","","","","","","","59.0"
"66","","T.J. Yates","","","60","","","","","","","60.0"
"67","","Tim Boyle","CHI","6","61","","","","","","","61.0"
"68","","AJ McCarron","","","62","","","","","","","62.0"
"69","","Josh Johnson","SF","4","63","","","","","","","63.0"
"70","","Tyrod Taylor","NYG","11","64","","","","","","","64.0"
"71","","E.J. Manuel","","","65","","","","","","","65.0"
"72","","Chad Henne","KC","12","66","","","","","","","66.0"
"73","","Paxton Lynch","","","67","","","","","","","67.0"
"74","","Connor Cook","","","68","","","","","","","68.0"
"75","","Matt Schaub","","","70","","","","","","","70.0"
"76","","Scott Tolzien","","","71","","","","","","","71.0"
"77","","Brandon Weeden","","","72","","","","","","","72.0"
"78","","Jarrett Stidham","LV","","73","","","","","","","73.0"
"79","","Gardner Minshew II","PHI","10","74","","","","","","","74.0"
"80","","Brian Hoyer","NE","10","75","","","","","","","75.0"
"81","","Mike White","NYJ","4","76","","","","","","","76.0"
"82","","Christian Hackenberg","","","77","","","","","","","77.0"
"83","","Ryan Finley","","","78","","","","","","","78.0"
"84","","Brett Hundley","BAL","8","79","","","","","","","79.0"
"85","","Kyle Sloter","","","80","","","","","","","80.0"
"86","","Sean Mannion","SEA","11","81","","","","","","","81.0"
"87","","Kyle Allen","HOU","10","82","","","","","","","82.0"
"88","","Trevor Siemian","CHI","6 ","83","","","","","","","83.0"
"89","","Austin Davis","","","84","","","","","","","84.0"
"90","","Tyler Bray","","","85","","","","","","","85.0"
"91","","Easton Stick","LAC","12","87","","","","","","","87.0"
"92","","Alex Tanney","","","88","","","","","","","88.0"
"93","","Landry Jones","","","89","","","","","","","89.0"
"94","","Nate Sudfeld","DET","5","90","","","","","","","90.0"
"95","","Mike Glennon","MIA","5","91","","","","","","","91.0"
"96","","Cardale Jones","","","93","","","","","","","93.0"
"97","","Danny Etling","GB","11","94","","","","","","","94.0"
"98","","Blaine Gabbert","TB","7","95","","","","","","","95.0"
"99","","Ryan Griffin","TB","7","96","","","","","","","96.0"
"100","","Kyle Lauletta","","","97","","","","","","","97.0"
"101","","Brandon Allen","CIN","9","98","","","","","","","98.0"
"102","","Will Grier","DAL","8","99","","","","","","","99.0"
"103","","Clayton Thorson","","","100","","","","","","","100.0"
"104","","Logan Woodside","ATL","9","101","","","","","","","101.0"
"105","","Cody Kessler","","","102","","","","","","","102.0"
"106","","Trevone Boykin","","","103","","","","","","","103.0"
"107","","Alex McGough","","","104","","","","","","","104.0"
"108","","Taylor Heinicke","WAS","10","105","","","","","","","105.0"
"109","","Jake Rudock","","","106","","","","","","","106.0"
"110","","Luke Falk","","","107","","","","","","","107.0"
"111","","Brad Kaaya","","","108","","","","","","","108.0"
"112","","Kevin Hogan","TEN","11","109","","","","","","","109.0"
"113","","Tanner Lee","","","110","","","","","","","110.0"
"114","","Derek Anderson","","","111","","","","","","","111.0"
"115","","Bryce Petty","","","112","","","","","","","112.0"
"116","","Brett Rypien","DEN","10","113","","","","","","","113.0"
"117","","Brandon Doughty","","","114","","","","","","","114.0"
"118","","David Fales","","","115","","","","","","","115.0"
"119","","Jeff Driskel","HU","10 O","116","","","","","","","116.0"
"120","","Davis Webb","NYG","11","117","","","","","","","117.0"
"121","","Joe Callahan","","","118","","","","","","","118.0"
"122","","Garrett Grayson","","","119","","","","","","","119.0"
"123","","Josh McCown","","","120","","","","","","","120.0"
"124","","Colt McCoy","ARI","12","121","","","","","","","121.0"
"125","","Nick Mullens","MIN","12","126","","","","","","","126.0"
""
""