"TE","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","20","Travis Kelce","KC","12","1","1","","1","","1.0"
"2","29","Zach Ertz","ARI","12","2","3","","3","","2.5"
"3","31","George Kittle","SF","4","3","2","","2","","2.5"
"4","55","O.J. Howard","HOU","10","4","4","","4","","4.0"
"5","61","Evan Engram","JAC","10 ","6","5","","5","","5.3"
"6","66","Hunter Henry","NE","10","5","6","","6","","6.0"
"7","75","Jared Cook","","","7","8","","7","","7.0"
"8","85","Vance McDonald","","","8","9","","8","","8.3"
"9","95","Eric Ebron ","","","9","7","","11","","9.3"
"10","101","David Njoku","CLE","7","10","10","","9","","10.0"
"11","117","Delanie Walker ","","","13","14","","10","","11.5"
"12","129","Austin Hooper","TEN","11","11","13","","14","","12.5"
"13","136","T.J. Hockenson","MIN","12 ","15","11","","15","","13.8"
"14","147","Greg Olsen","","","14","12","","16","","15.0"
"15","140","Mark Andrews","BAL","8","18","15","","12","","15.0"
"16","152","Trey Burton ","","","17","16","","13","","16.3"
"17","169","Kyle Rudolph","TB","7","12","17","","","","15.0"
"18","174","Jordan Reed","","","19","20","","","","17.3"
"19","177","Jimmy Graham","","","16","19","","","","17.3"
"20","191","Noah Fant","SEA","11","25","18","","","","21.0"
"21","194","Darren Waller","LV","","21","24","","","","22.0"
"22","211","Jason Witten","","","20","31","","","","24.3"
"23","210","Jack Doyle","","","24","26","","","","24.3"
"24","219","Chris Herndon IV ","","","23","21","","","","22.0"
"25","224","Dallas Goedert","PHI","10","22","22","","","","22.0"
"26","233","Cameron Brate","TB","7","28","36","","","","29.3"
"27","241","Tyler Eifert","","","26","29","","","","27.5"
"28","262","Matt LaCosse","","","","23","","","","23.0"
"29","252","Mike Gesicki","MIA","5","30","27","","","","28.5"
"30","267","Irv Smith Jr.","MIN","12","","25","","","","25.0"
"31","272","Benjamin Watson","","","27","40","","","","33.5"
"32","290","Will Dissly","SEA","11 ","29","43","","","","36.0"
"33","294","Gerald Everett","LAC","12","","30","","","","30.0"
"34","314","Vernon Davis","","","31","49","","","","40.0"
"35","310","Ian Thomas","CAR","7","","32","","","","32.0"
"36","331","Hayden Hurst","CIN","9","","33","","","","33.0"
"37","337","Ricky Seals-Jones","","","","34","","","","34.0"
"38","341","Blake Jarwin","","","","35","","","","35.0"
"39","348","C.J. Uzomah","NYJ","4","","37","","","","37.0"
"40","350","Jesse James","CLE","7","","38","","","","38.0"
"41","356","Geoff Swaim","TEN","11","","39","","","","39.0"
"42","364","Jordan Thomas","","","","41","","","","41.0"
"43","369","Nick Vannett","NYG","11","","42","","","","42.0"
"44","376","Manasseh Garner","","","","44","","","","44.0"
"45","377","Demetrius Harris","","","","45","","","","45.0"
"46","381","James 'Shaughnessy","MIN","12 O","","46","","","","46.0"
"47","382","Dawson Knox","BUF","6","","47","","","","47.0"
"48","384","Jeff Heuerman","","","","48","","","","48.0"
"49","395","Josh liver","BAL","8 O","","50","","","","50.0"
"50","399","Tyler Kroft","SF","4","","51","","","","51.0"
"51","400","Jonnu Smith","NE","10","","52","","","","52.0"
"52","401","Foster Moreau","LV","","","53","","","","53.0"
""
""