,WR,Overall,Player,AVG
0,1.0,6.0,Antonio Brown,1.0
1,2.0,7.0,Dez Bryant,2.3
2,3.0,14.0,Demaryius Thomas,3.5
3,4.0,16.0,Julio Jones,4.3
4,5.0,17.0,Odell Beckham Jr.,4.3
5,6.0,18.0,Calvin Johnson,5.5
6,7.0,21.0,A.J. Green,7.5
7,8.0,20.0,Randall Cobb,7.8
8,9.0,22.0,T.Y. Hilton,9.5
9,10.0,24.0,Alshon Jeffery,10.3
10,11.0,27.0,Mike Evans,11.8
11,12.0,30.0,Brandin Cooks,12.5
12,13.0,32.0,Emmanuel Sanders,13.2
13,14.0,37.0,Jordan Matthews,14.2
14,15.0,33.0,DeAndre Hopkins,14.2
15,16.0,41.0,Andre Johnson,18.0
16,17.0,42.0,Amari Cooper,19.0
17,18.0,45.0,Julian Edelman,19.2
18,19.0,47.0,Golden Tate,20.0
19,20.0,50.0,Keenan Allen,21.7
20,21.0,53.0,DeSean Jackson,22.2
21,22.0,51.0,Jeremy Maclin,22.2
22,23.0,59.0,Brandon Marshall,23.8
23,24.0,57.0,Sammy Watkins,24.0
24,25.0,60.0,Jarvis Landry,24.8
25,26.0,62.0,Davante Adams,25.2
26,27.0,66.0,Vincent Jackson,27.5
27,28.0,75.0,Martavis Bryant,30.8
28,29.0,82.0,Nelson Agholor,31.5
29,30.0,79.0,Allen Robinson II,31.7
30,31.0,81.0,Mike Wallace,32.0
31,32.0,85.0,Steve Smith,33.8
32,33.0,89.0,Charles Johnson,36.0
33,34.0,92.0,Larry Fitzgerald,36.0
34,35.0,93.0,Roddy White,36.3
35,36.0,96.0,John Brown,37.8
36,37.0,98.0,Victor Cruz,38.3
37,38.0,101.0,Eric Decker,40.2
38,39.0,103.0,Torrey Smith,40.7
39,40.0,104.0,Anquan Boldin,40.7
40,41.0,115.0,Michael Floyd,44.2
41,42.0,114.0,Marques Colston,44.2
42,43.0,116.0,Devin Funchess,45.2
43,44.0,120.0,Kendall Wright,46.5
44,45.0,118.0,Pierre Garcon,47.0
45,46.0,145.0,Jordy Nelson,32.8
46,47.0,130.0,Terrance Williams,49.3
47,48.0,139.0,Brandon LaFell,44.4
48,49.0,146.0,Eddie Royal,50.3
49,50.0,141.0,DeVante Parker,52.0
50,51.0,156.0,Michael Crabtree,54.0
51,52.0,153.0,Percy Harvin,54.5
52,53.0,157.0,Breshad Perriman,55.3
53,54.0,163.0,Cody Latimer,57.5
54,55.0,168.0,Doug Baldwin,54.0
55,56.0,181.0,Markus Wheaton,59.5
56,57.0,179.0,Brian Quick,59.3
57,58.0,171.0,Steve Johnson,55.8
58,59.0,180.0,Kelvin Benjamin,53.3
59,60.0,175.0,Dorial Green-Beckham,60.7
60,61.0,177.0,Tyler Lockett,58.8
61,62.0,187.0,Kenny Stills,57.5
62,63.0,191.0,Kevin White,51.3
63,64.0,202.0,Malcom Floyd,62.0
64,65.0,192.0,Brandon Coleman,62.2
65,66.0,195.0,Marvin Jones Jr.,62.8
66,67.0,196.0,Rueben Randle,63.2
67,68.0,199.0,Donte Moncrief,60.0
68,69.0,209.0,Phillip Dorsett II,65.0
69,70.0,205.0,James Jones,57.3
70,71.0,208.0,Ty Montgomery,60.0
71,72.0,219.0,Reggie Wayne,64.5
72,73.0,226.0,Mohamed Sanu Sr.,61.3
73,74.0,236.0,Cordarrelle Patterson,62.3
74,75.0,238.0,Cecil Shorts,62.5
75,76.0,241.0,Jaelen Strong,67.0
76,77.0,234.0,Dwayne Bowe,70.0
77,78.0,233.0,Wes Welker,82.0
78,79.0,237.0,Jeff Janis,80.3
79,80.0,264.0,Cole Beasley,70.5
80,81.0,261.0,Tavon Austin,75.0
81,82.0,245.0,Allen Hurns,76.7
82,83.0,265.0,Danny Amendola,78.0
83,84.0,260.0,Stedman Bailey,67.0
84,85.0,257.0,Kenny Britt,73.5
85,86.0,267.0,Greg Jennings,80.7
86,87.0,268.0,Sammie Coates,73.0
87,88.0,266.0,Andrew Hawkins,79.0
88,89.0,326.0,Robert Woods,88.0
89,90.0,263.0,Leonard Hankerson,76.0
90,91.0,359.0,Devin Hester,93.0
91,92.0,274.0,Aaron Dobson,77.0
92,93.0,281.0,Taylor Gabriel,80.0
93,94.0,293.0,Riley Cooper,81.0
94,95.0,294.0,Justin Hardy,82.0
95,96.0,303.0,Jermaine Kearse,89.0
96,97.0,304.0,Marqise Lee,90.0
97,98.0,311.0,Devin Smith,92.0
98,99.0,313.0,Kamar Aiken,93.0
99,100.0,316.0,Jamison Crowder,95.0
100,101.0,318.0,De'Anthony Thomas,96.0
101,102.0,319.0,Nick Toon,97.0
102,103.0,320.0,Marlon Brown,98.0
103,104.0,321.0,Harry Douglas,99.0
104,105.0,322.0,Chris Conley,100.0
105,106.0,324.0,Brian Hartline,101.0
106,107.0,325.0,Josh Gordon,102.0
107,108.0,328.0,Justin Hunter,104.0
108,109.0,335.0,Jarius Wright,105.0
109,110.0,336.0,Hakeem Nicks,106.0
110,111.0,340.0,Marquess Wilson,107.0
111,112.0,344.0,Corey Brown,108.0
112,113.0,345.0,Nate Washington,110.0
113,114.0,360.0,Jerricho Cotchery,113.0
114,115.0,366.0,Chris Hogan,114.0
115,116.0,369.0,Rashad Ross,115.0
116,117.0,371.0,Ricardo Lockette,117.0
117,118.0,376.0,Andre Caldwell,118.0
118,119.0,380.0,J.J. Nelson,119.0
119,120.0,389.0,Ted Ginn Jr.,120.0
120,121.0,393.0,Andre Roberts,121.0
121,122.0,403.0,Josh Huff,122.0
122,123.0,404.0,Deonte Thompson,123.0
123,124.0,407.0,Miles Austin,124.0
124,125.0,422.0,Lance Moore,125.0
125,126.0,423.0,Greg Salas,126.0
126,127.0,424.0,Corey Fuller,127.0
127,,,,
128,,,,
