,Unnamed: 0,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
0,0,1,David Johnson,ARI,RB,25,16,16,0,0,0,0,0,293,1239,4.23,16,120,80,879,10.99,4,5.0,3,20,1.0,0.0,328.0,407.8,416.8,367.8,191.0,1,1.0,JohnDa08
1,1,2,Ezekiel Elliott,DAL,RB,21,15,15,0,0,0,0,0,322,1631,5.07,15,39,32,363,11.34,1,5.0,1,16,0.0,0.0,293.0,325.4,332.4,309.4,156.0,2,2.0,ElliEz00
2,2,3,Aaron Rodgers,GNB,QB,33,16,16,401,610,4428,40,7,67,369,5.51,4,0,0,0,0.0,0,8.0,4,4,1.0,1.0,380.0,380.0,397.0,387.0,119.0,1,3.0,RodgAa00
3,3,4,LeSean McCoy,BUF,RB,28,15,15,0,0,0,0,0,234,1267,5.41,13,57,50,356,7.12,1,3.0,0,14,1.0,0.0,248.0,298.3,304.3,273.3,111.0,3,4.0,McCoLe01
4,4,5,Le'Veon Bell,PIT,RB,24,12,12,0,1,0,0,0,261,1268,4.86,7,94,75,616,8.21,2,4.0,1,9,1.0,0.0,242.0,317.4,324.4,279.9,105.0,4,5.0,BellLe00
5,5,6,DeMarco Murray,TEN,RB,28,16,16,1,2,10,1,0,293,1287,4.39,9,67,53,377,7.11,3,3.0,1,12,0.0,0.0,241.0,293.8,300.8,267.3,104.0,5,6.0,MurrDe00
6,6,7,Devonta Freeman,ATL,RB,24,16,16,0,0,0,0,0,227,1079,4.75,11,65,54,462,8.56,2,1.0,1,13,0.0,0.0,230.0,284.1,291.1,257.1,93.0,6,7.0,FreeDe00
7,7,8,LeGarrette Blount,NWE,RB,30,16,8,0,0,0,0,0,299,1161,3.88,18,8,7,38,5.43,0,2.0,1,18,0.0,0.0,226.0,232.9,236.9,229.4,89.0,7,8.0,BlouLe00
8,8,9,Matt Ryan,ATL,QB,31,16,16,373,534,4944,38,7,35,117,3.34,0,0,0,0,0.0,0,4.0,2,0,1.0,1.0,347.0,347.5,362.5,354.5,87.0,2,9.0,RyanMa00
9,9,10,Mike Evans,TAM,WR,23,16,16,0,0,0,0,0,0,0,0.0,0,173,96,1321,13.76,12,0.0,0,12,2.0,0.0,208.0,304.1,307.1,256.1,82.0,1,10.0,EvanMi00
10,10,11,Jordy Nelson,GNB,WR,31,16,16,0,0,0,0,0,0,0,0.0,0,152,97,1257,12.96,14,1.0,1,14,0.0,0.0,208.0,304.7,308.7,256.2,82.0,2,11.0,NelsJo00
11,11,12,Antonio Brown,PIT,WR,28,15,15,0,0,0,0,0,3,9,3.0,0,154,106,1284,12.11,12,0.0,0,12,0.0,0.0,201.0,307.3,310.3,254.3,75.0,3,12.0,BrowAn04
12,12,13,Melvin Gordon,SDG,RB,23,13,11,0,0,0,0,0,254,997,3.93,10,57,41,419,10.22,2,2.0,2,12,0.0,0.0,210.0,250.6,258.6,230.1,73.0,8,13.0,GordMe00
13,13,14,Drew Brees,NOR,QB,37,16,16,471,673,5208,37,15,23,20,0.87,2,0,0,0,0.0,0,5.0,4,2,0.0,0.0,332.0,332.3,354.3,347.3,72.0,3,14.0,BreeDr00
14,14,15,Odell Beckham Jr.,NYG,WR,24,16,16,0,0,0,0,0,1,9,9.0,0,169,101,1367,13.53,10,3.0,1,10,0.0,0.0,196.0,296.6,300.6,246.1,69.0,4,15.0,BeckOd00
15,15,16,Jordan Howard,CHI,RB,22,15,13,0,0,0,0,0,252,1313,5.21,6,50,29,298,10.28,1,2.0,1,7,0.0,0.0,201.0,230.1,237.1,215.6,64.0,9,16.0,HowaJo00
16,16,17,Mark Ingram,NOR,RB,27,16,14,0,0,0,0,0,205,1043,5.09,6,58,46,319,6.93,4,2.0,2,10,2.0,0.0,196.0,242.2,250.2,219.2,59.0,10,17.0,IngrMa01
17,17,18,T.Y. Hilton,IND,WR,27,16,16,0,0,0,0,0,0,0,0.0,0,155,91,1448,15.91,6,0.0,0,6,1.0,0.0,183.0,273.8,276.8,228.3,57.0,5,18.0,HiltT.00
18,18,19,Jay Ajayi,MIA,RB,23,15,12,0,0,0,0,0,260,1272,4.89,8,35,27,151,5.59,0,4.0,1,8,0.0,0.0,188.0,215.3,222.3,201.8,51.0,11,19.0,AjayJa00
19,19,20,Travis Kelce,KAN,TE,27,16,15,0,0,0,0,0,1,-5,-5.0,0,117,85,1125,13.24,4,0.0,0,4,1.0,0.0,138.0,223.0,226.0,180.5,51.0,1,20.0,KelcTr00
20,20,21,Julio Jones,ATL,WR,27,14,14,0,0,0,0,0,0,0,0.0,0,129,83,1409,16.98,6,0.0,0,6,0.0,0.0,177.0,259.9,262.9,218.4,51.0,6,21.0,JoneJu02
21,21,22,Andrew Luck,IND,QB,27,15,15,346,545,4240,31,13,64,341,5.33,2,0,0,0,0.0,0,6.0,5,2,0.0,2.0,308.0,307.7,331.7,320.7,47.0,4,22.0,LuckAn00
22,22,23,Davante Adams,GNB,WR,24,16,15,0,0,0,0,0,0,0,0.0,0,121,75,997,13.29,12,2.0,1,12,1.0,0.0,172.0,246.7,250.7,209.2,46.0,7,23.0,AdamDa01
23,23,24,Brandin Cooks,NOR,WR,23,16,12,0,0,0,0,0,6,30,5.0,0,117,78,1173,15.04,8,1.0,0,8,0.0,0.0,168.0,246.3,249.3,207.3,42.0,8,24.0,CookBr00
24,24,25,Greg Olsen,CAR,TE,31,16,16,0,0,0,0,0,0,0,0.0,0,129,80,1073,13.41,3,0.0,0,3,1.0,0.0,127.0,207.3,210.3,167.3,40.0,2,25.0,OlseGr00
25,25,26,Kirk Cousins,WAS,QB,28,16,16,406,606,4917,25,12,34,96,2.82,4,0,0,0,0.0,0,9.0,3,4,0.0,0.0,300.0,300.3,318.3,312.3,40.0,5,26.0,CousKi00
26,26,27,Frank Gore,IND,RB,33,16,16,0,0,0,0,0,263,1025,3.9,4,47,38,277,7.29,4,2.0,1,8,0.0,0.0,176.0,214.2,221.2,195.2,39.0,12,27.0,GoreFr00
27,27,28,Kyle Rudolph,MIN,TE,27,16,16,0,0,0,0,0,0,0,0.0,0,132,83,840,10.12,7,0.0,0,7,0.0,0.0,126.0,209.0,212.0,167.5,39.0,3,28.0,RudoKy00
28,28,29,Latavius Murray,OAK,RB,26,14,12,0,0,0,0,0,195,788,4.04,12,43,33,264,8.0,0,2.0,1,12,0.0,0.0,175.0,208.2,215.2,191.7,38.0,13,29.0,MurrLa00
29,29,30,Michael Thomas,NOR,WR,23,15,12,0,0,0,0,0,0,0,0.0,0,121,92,1137,12.36,9,2.0,2,9,0.0,0.0,164.0,255.7,260.7,209.7,38.0,9,30.0,ThomMi05
30,30,31,Jimmy Graham,SEA,TE,30,16,15,0,0,0,0,0,1,0,0.0,0,95,65,923,14.2,6,2.0,2,6,0.0,0.0,124.0,189.3,194.3,156.8,37.0,4,31.0,GrahJi00
31,31,32,Delanie Walker,TEN,TE,32,15,9,0,0,0,0,0,2,11,5.5,0,102,65,800,12.31,7,1.0,0,7,0.0,0.0,123.0,188.1,191.1,155.6,36.0,5,32.0,WalkHu00
32,32,33,Doug Baldwin,SEA,WR,28,16,15,1,1,15,1,0,3,2,0.67,0,125,94,1128,12.0,7,1.0,0,7,0.0,0.0,160.0,253.6,256.6,206.6,33.0,10,33.0,BaldDo00
33,33,34,Tyreek Hill,KAN,WR,22,16,1,0,0,0,0,0,24,267,11.13,3,83,61,593,9.72,6,4.0,1,12,0.0,0.0,156.0,217.0,224.0,186.5,30.0,11,34.0,HillTy00
34,34,35,Isaiah Crowell,CLE,RB,23,16,16,0,0,0,0,0,198,952,4.81,7,53,40,319,7.98,0,2.0,2,7,0.0,0.0,165.0,205.1,213.1,185.1,28.0,14,35.0,CrowIs00
35,35,36,Carlos Hyde,SFO,RB,26,13,13,0,0,0,0,0,217,988,4.55,6,33,27,163,6.04,3,5.0,3,9,1.0,0.0,165.0,192.1,201.1,178.6,28.0,15,36.0,HydeCa00
36,36,37,Cameron Brate,TAM,TE,25,15,10,0,0,0,0,0,0,0,0.0,0,81,57,660,11.58,8,1.0,0,8,0.0,0.0,114.0,171.0,174.0,142.5,27.0,6,37.0,BratCa00
37,37,38,Dak Prescott,DAL,QB,23,16,16,311,459,3667,23,4,57,282,4.95,6,0,0,0,0.0,0,9.0,4,6,0.0,0.0,287.0,286.9,300.9,290.9,26.0,6,38.0,PresDa01
38,38,39,Martellus Bennett,NWE,TE,29,16,12,0,0,0,0,0,2,10,5.0,0,73,55,701,12.75,7,0.0,0,7,0.0,0.0,113.0,168.1,171.1,140.6,26.0,7,39.0,BennMa00
39,39,40,Michael Crabtree,OAK,WR,29,16,16,0,0,0,0,0,0,0,0.0,0,145,89,1003,11.27,8,2.0,0,8,1.0,0.0,150.0,239.3,242.3,194.8,24.0,12,40.0,CrabMi00
40,40,41,Spencer Ware,KAN,RB,25,14,14,0,0,0,0,0,214,921,4.3,3,42,33,447,13.55,2,4.0,3,5,0.0,0.0,161.0,193.8,202.8,177.3,24.0,16,41.0,WareSp00
41,41,42,Amari Cooper,OAK,WR,22,16,14,0,0,0,0,0,1,0,0.0,0,132,83,1153,13.89,5,2.0,0,5,2.0,0.0,149.0,232.3,235.3,190.8,23.0,13,42.0,CoopAm00
42,42,43,Lamar Miller,HOU,RB,25,14,14,0,0,0,0,0,268,1073,4.0,5,39,31,188,6.06,1,2.0,1,6,0.0,0.0,160.0,191.1,198.1,175.6,23.0,18,43.0,MillLa01
43,43,44,Tevin Coleman,ATL,RB,23,13,0,0,0,0,0,0,118,520,4.41,8,40,31,421,13.58,3,1.0,0,11,0.0,0.0,160.0,191.1,197.1,175.6,23.0,17,44.0,ColeTe01
44,44,45,Tyrell Williams,SDG,WR,24,16,12,0,0,0,0,0,0,0,0.0,0,119,69,1059,15.35,7,0.0,0,7,0.0,0.0,148.0,216.9,219.9,182.4,22.0,14,45.0,WillTy00
45,45,46,Rishard Matthews,TEN,WR,27,16,9,0,0,0,0,0,0,0,0.0,0,108,65,945,14.54,9,1.0,1,9,0.0,0.0,147.0,211.5,215.5,179.0,20.0,15,46.0,MattRi00
46,46,47,Matthew Stafford,DET,QB,28,16,16,388,594,4327,24,10,37,207,5.59,2,1,0,0,0.0,0,3.0,2,2,0.0,1.0,280.0,279.8,297.8,289.8,19.0,7,47.0,StafMa00
47,47,48,Jeremy Hill,CIN,RB,24,15,13,0,0,0,0,0,222,839,3.78,9,27,21,174,8.29,0,0.0,0,9,0.0,0.0,155.0,176.3,182.3,165.8,18.0,19,48.0,HillJe01
48,48,49,Zach Ertz,PHI,TE,26,14,12,0,0,0,0,0,0,0,0.0,0,106,78,816,10.46,4,0.0,0,4,0.0,0.0,106.0,183.6,186.6,144.6,18.0,8,49.0,ErtzZa00
49,49,50,Todd Gurley,LAR,RB,22,16,16,0,0,0,0,0,278,885,3.18,6,58,43,327,7.6,0,2.0,1,6,0.0,0.0,155.0,198.2,205.2,176.7,18.0,20,50.0,GurlTo01
50,50,51,Matt Forte,NYJ,RB,31,14,13,0,0,0,0,0,218,813,3.73,7,43,30,263,8.77,1,1.0,1,8,0.0,0.0,154.0,183.6,190.6,168.6,17.0,21,51.0,FortMa00
51,51,52,Jordan Reed,WAS,TE,26,12,8,0,0,0,0,0,0,0,0.0,0,89,66,686,10.39,6,1.0,1,6,0.0,0.0,103.0,168.6,172.6,135.6,15.0,9,52.0,ReedJo02
52,52,53,Jarvis Landry,MIA,WR,24,16,16,0,1,0,0,0,5,17,3.4,0,131,94,1136,12.09,4,2.0,2,4,1.0,0.0,137.0,231.3,236.3,184.3,11.0,16,53.0,LandJa00
53,53,54,Larry Fitzgerald,ARI,WR,33,16,16,0,1,0,0,0,2,5,2.5,0,150,107,1023,9.56,6,2.0,1,6,0.0,0.0,137.0,243.8,247.8,190.3,11.0,17,54.0,FitzLa00
54,54,55,Tyrod Taylor,BUF,QB,27,15,15,269,436,3023,17,6,95,580,6.11,6,0,0,0,0.0,0,4.0,2,6,1.0,1.0,271.0,270.9,284.9,276.9,10.0,8,55.0,TaylTy00
55,55,56,Terrelle Pryor,CLE,WR,27,16,15,5,9,41,0,0,8,21,2.63,1,140,77,1007,13.08,4,1.0,0,5,1.0,0.0,136.0,213.4,216.4,174.9,10.0,18,56.0,PryoTe00
56,56,57,Demaryius Thomas,DEN,WR,29,16,16,0,0,0,0,0,0,0,0.0,0,144,90,1083,12.03,5,2.0,2,5,0.0,1.0,136.0,226.3,231.3,181.3,10.0,19,57.0,ThomDe03
57,57,58,Blake Bortles,JAX,QB,24,16,16,368,625,3905,23,16,58,359,6.19,3,1,1,20,20.0,1,8.0,6,4,1.0,1.0,270.0,271.1,299.1,286.6,9.0,9,58.0,BortBl00
58,58,59,Kelvin Benjamin,CAR,WR,25,16,13,0,0,0,0,0,0,0,0.0,0,118,63,941,14.94,7,1.0,1,7,0.0,0.0,134.0,197.1,201.1,165.6,8.0,20,59.0,BenjKe00
59,59,60,Derek Carr,OAK,QB,25,15,15,357,560,3937,28,6,39,70,1.79,0,0,0,0,0.0,0,5.0,3,0,0.0,5.0,268.0,268.5,280.5,274.5,8.0,10,60.0,CarrDe02
60,60,61,Antonio Gates,SDG,TE,36,14,9,0,0,0,0,0,0,0,0.0,0,93,53,548,10.34,7,1.0,1,7,0.0,0.0,95.0,147.8,151.8,121.3,8.0,10,61.0,GateAn00
61,61,62,Russell Wilson,SEA,QB,28,16,16,353,546,4219,21,11,72,259,3.6,1,2,2,14,7.0,1,8.0,2,2,0.0,1.0,268.0,270.1,289.1,280.1,7.0,11,62.0,WilsRu00
62,62,63,Emmanuel Sanders,DEN,WR,29,16,16,0,0,0,0,0,1,4,4.0,0,137,79,1032,13.06,5,1.0,0,5,0.0,0.0,134.0,212.6,215.6,173.1,7.0,21,63.0,SandEm00
63,63,64,Hunter Henry,SDG,TE,22,15,10,0,0,0,0,0,0,0,0.0,0,53,36,478,13.28,8,1.0,1,8,0.0,0.0,94.0,129.8,133.8,111.8,7.0,11,64.0,HenrHu00
64,64,65,Julian Edelman,NWE,WR,30,16,13,0,0,0,0,0,12,57,4.75,0,159,98,1106,11.29,3,3.0,2,3,1.0,0.0,132.0,230.3,235.3,181.3,6.0,22,65.0,EdelJu00
65,65,66,Golden Tate,DET,WR,28,16,16,0,0,0,0,0,10,4,0.4,0,135,91,1077,11.84,4,2.0,1,4,1.0,0.0,132.0,223.1,227.1,177.6,6.0,23,66.0,TateGo00
66,66,67,Mike Wallace,BAL,WR,30,16,16,0,0,0,0,0,5,31,6.2,0,116,72,1017,14.13,4,1.0,0,4,1.0,0.0,131.0,202.8,205.8,166.8,5.0,24,67.0,WallMi00
67,67,68,Jamison Crowder,WAS,WR,23,16,9,0,0,0,0,0,2,-2,-1.0,0,99,67,847,12.64,7,2.0,1,8,0.0,0.0,131.0,197.5,201.5,164.0,4.0,25,68.0,CrowJa00
68,68,69,Dez Bryant,DAL,WR,28,13,13,1,1,10,1,0,0,0,0.0,0,96,50,796,15.92,8,1.0,1,8,0.0,0.0,130.0,180.0,184.0,155.0,4.0,26,69.0,BryaDe01
69,69,70,Bilal Powell,NYJ,RB,28,16,4,0,0,0,0,0,131,722,5.51,3,74,58,388,6.69,2,1.0,1,5,0.0,0.0,139.0,197.0,204.0,168.0,2.0,22,70.0,PoweBi00
70,70,71,Kenny Britt,LAR,WR,28,15,15,0,0,0,0,0,0,0,0.0,0,111,68,1002,14.74,5,2.0,1,5,0.0,0.0,128.0,196.2,200.2,162.2,2.0,27,71.0,BritKe00
71,71,72,Jonathan Stewart,CAR,RB,29,13,13,0,0,0,0,0,218,824,3.78,9,21,8,60,7.5,0,3.0,2,9,0.0,0.0,138.0,146.4,151.4,142.4,1.0,23,72.0,StewJo00
72,72,73,Kenny Stills,MIA,WR,24,16,16,0,0,0,0,0,0,0,0.0,0,81,42,726,17.29,9,0.0,0,9,0.0,0.0,127.0,168.6,171.6,147.6,0.0,28,73.0,StilKe00
73,73,74,Allen Robinson,JAX,WR,23,16,16,0,0,0,0,0,0,0,0.0,0,151,73,883,12.1,6,1.0,0,6,1.0,0.0,126.0,199.3,202.3,162.8,0.0,29,74.0,RobiAl02
74,74,75,Andy Dalton,CIN,QB,29,16,16,364,563,4206,18,8,46,184,4.0,4,0,0,0,0.0,0,9.0,3,4,0.0,0.0,261.0,260.6,277.6,268.6,0.0,12,75.0,DaltAn00
75,75,76,Coby Fleener,NOR,TE,28,16,8,0,0,0,0,0,1,2,2.0,1,81,50,631,12.62,3,2.0,0,4,0.0,0.0,87.0,137.3,140.3,112.3,0.0,12,76.0,FleeCo00
76,76,77,Adam Thielen,MIN,WR,26,16,10,0,0,0,0,0,2,15,7.5,0,92,69,967,14.01,5,2.0,1,5,0.0,0.0,126.0,195.2,199.2,160.7,0.0,30,77.0,ThieAd00
77,77,78,Terrance West,BAL,RB,25,16,13,0,0,0,0,0,193,774,4.01,5,45,34,236,6.94,1,2.0,0,6,0.0,0.0,137.0,171.0,177.0,154.0,0.0,24,78.0,WestTe00
78,78,79,Marcus Mariota,TEN,QB,23,15,15,276,451,3426,26,9,60,349,5.82,2,1,0,0,0.0,0,10.0,5,2,0.0,0.0,260.0,259.9,279.9,268.9,0.0,13,0.0,MariMa01
79,79,80,Tom Brady,NWE,QB,39,12,12,291,432,3554,28,2,28,64,2.29,0,0,0,0,0.0,0,5.0,0,0,0.0,1.0,259.0,258.6,263.6,260.6,0.0,15,0.0,BradTo00
80,80,81,Philip Rivers,SDG,QB,35,16,16,349,578,4386,33,21,14,35,2.5,0,0,0,0,0.0,0,9.0,5,0,0.0,0.0,259.0,258.9,287.9,279.9,0.0,14,0.0,RivePh00
81,81,82,Jameis Winston,TAM,QB,22,16,16,345,567,4090,28,18,53,165,3.11,1,0,0,0,0.0,0,10.0,6,1,0.0,3.0,256.0,256.1,286.1,274.1,0.0,16,0.0,WinsJa00
82,82,83,Cam Newton,CAR,QB,27,15,14,270,510,3509,19,14,90,359,3.99,5,0,0,0,0.0,0,3.0,2,5,1.0,1.0,254.0,254.3,276.3,268.3,0.0,17,0.0,NewtCa00
83,83,84,Ben Roethlisberger,PIT,QB,34,14,14,328,509,3819,29,13,16,14,0.88,1,0,0,0,0.0,0,8.0,2,1,0.0,3.0,252.0,252.2,270.2,265.2,0.0,18,0.0,RoetBe00
84,84,85,Carson Palmer,ARI,QB,37,15,15,364,597,4233,26,14,14,38,2.71,0,0,0,0,0.0,0,14.0,4,0,0.0,1.0,243.0,243.1,264.1,257.1,0.0,19,0.0,PalmCa00
85,85,86,Joe Flacco,BAL,QB,31,16,16,436,672,4317,20,15,21,58,2.76,2,0,0,0,0.0,0,5.0,3,2,0.0,4.0,242.0,242.5,263.5,257.5,0.0,20,0.0,FlacJo00
86,86,87,Eli Manning,NYG,QB,35,16,16,377,598,4027,26,16,21,-9,-0.43,0,0,0,0,0.0,0,7.0,4,0,0.0,0.0,224.0,224.2,247.2,240.2,0.0,21,0.0,MannEl00
87,87,88,Alex Smith,KAN,QB,32,15,15,328,489,3502,15,8,48,134,2.79,5,1,1,3,3.0,0,7.0,4,5,0.0,2.0,224.0,224.8,242.8,232.3,0.0,22,0.0,SmitAl03
88,88,89,Sam Bradford,MIN,QB,29,15,15,395,552,3877,20,5,20,53,2.65,0,1,1,5,5.0,0,10.0,5,0,0.0,0.0,221.0,221.9,234.9,226.4,0.0,23,0.0,BradSa00
89,89,90,Carson Wentz,PHI,QB,24,16,16,379,607,3782,16,14,46,150,3.26,2,1,1,7,7.0,0,14.0,3,2,1.0,1.0,213.0,214.0,237.0,227.5,0.0,24,0.0,WentCa00
90,90,91,Colin Kaepernick,SFO,QB,29,12,11,196,331,2241,16,4,69,468,6.78,2,0,0,0,0.0,0,9.0,3,2,1.0,0.0,200.0,200.4,213.4,204.4,0.0,25,0.0,KaepCo00
91,91,92,Trevor Siemian,DEN,QB,25,14,14,289,486,3401,18,10,28,57,2.04,0,0,0,0,0.0,0,4.0,2,0,1.0,0.0,192.0,191.7,206.7,201.7,0.0,26,0.0,SiemTr00
92,92,93,Ryan Tannehill,MIA,QB,28,13,13,261,389,2995,19,12,39,164,4.21,1,0,0,0,0.0,0,9.0,3,1,0.0,1.0,190.0,190.2,211.2,202.2,0.0,27,0.0,TannRy00
93,93,94,Brock Osweiler,HOU,QB,26,15,14,301,510,2957,15,16,30,131,4.37,2,1,1,-14,-14.0,0,5.0,1,2,0.0,0.0,168.0,169.0,192.0,184.5,0.0,28,0.0,OsweBr00
94,94,95,Ryan Fitzpatrick,NYJ,QB,34,14,11,228,403,2710,12,17,33,130,3.94,0,0,0,0,0.0,0,9.0,1,0,0.0,0.0,133.0,133.4,157.4,150.4,0.0,29,0.0,FitzRy00
95,95,96,Ryan Mathews,PHI,RB,29,13,8,0,0,0,0,0,155,661,4.26,8,14,13,115,8.85,1,3.0,2,9,2.0,0.0,132.0,144.6,152.6,138.1,0.0,25,0.0,MathRy00
96,96,97,DeSean Jackson,WAS,WR,30,15,15,0,0,0,0,0,0,0,0.0,0,100,56,1005,17.95,4,0.0,0,4,0.0,0.0,125.0,180.5,183.5,152.5,0.0,31,0.0,JackDe00
97,97,98,Pierre Garcon,WAS,WR,30,16,16,0,0,0,0,0,0,0,0.0,0,114,79,1041,13.18,3,0.0,0,3,0.0,0.0,122.0,201.1,204.1,161.6,0.0,32,0.0,GarcPi00
98,98,99,Brandon LaFell,CIN,WR,30,16,14,0,0,0,0,0,1,-2,-2.0,0,107,64,862,13.47,6,0.0,0,6,0.0,0.0,122.0,186.0,189.0,154.0,0.0,33,0.0,LaFeBr00
99,99,100,Robert Kelley,WAS,RB,24,15,9,0,0,0,0,0,168,704,4.19,6,18,12,82,6.83,1,0.0,0,7,0.0,0.0,121.0,132.6,135.6,126.6,0.0,26,0.0,KellRo00
100,100,101,A.J. Green,CIN,WR,28,10,10,0,0,0,0,0,0,0,0.0,0,100,66,964,14.61,4,0.0,0,4,0.0,0.0,120.0,186.4,189.4,153.4,0.0,34,0.0,GreeA.00
101,101,102,Willie Snead,NOR,WR,24,15,4,1,1,50,1,0,0,0,0.0,0,104,72,895,12.43,4,2.0,0,4,0.0,0.0,120.0,191.5,194.5,155.5,0.0,35,0.0,SneaWi00
102,102,103,DeAndre Hopkins,HOU,WR,24,16,16,0,0,0,0,0,0,0,0.0,0,151,78,954,12.23,4,0.0,0,4,0.0,0.0,119.0,197.4,200.4,158.4,0.0,36,0.0,HopkDe00
103,103,104,Sterling Shepard,NYG,WR,23,16,16,0,0,0,0,0,3,31,10.33,0,105,65,683,10.51,8,0.0,0,8,0.0,0.0,119.0,184.4,187.4,151.9,0.0,37,0.0,ShepSt00
104,104,105,Mike Gillislee,BUF,RB,26,15,1,0,0,0,0,0,101,577,5.71,8,11,9,50,5.56,1,1.0,0,9,0.0,0.0,117.0,125.7,128.7,121.2,0.0,27,0.0,GillMi00
105,105,106,Marvin Jones,DET,WR,26,15,15,0,0,0,0,0,1,3,3.0,0,103,55,930,16.91,4,0.0,0,4,0.0,0.0,117.0,172.3,175.3,144.8,0.0,38,0.0,JoneMa02
106,106,107,Marqise Lee,JAX,WR,25,16,6,1,1,20,1,0,6,35,5.83,0,105,63,851,13.51,3,1.0,1,4,0.0,0.0,115.0,178.4,182.4,146.9,0.0,39,0.0,LeexMa00
107,107,108,Christine Michael,2TM,RB,26,15,7,0,0,0,0,0,148,583,3.94,7,29,22,107,4.86,1,2.0,1,8,0.0,0.0,115.0,137.0,144.0,126.0,0.0,28,0.0,MichCh00
108,108,109,Cole Beasley,DAL,WR,27,16,6,0,1,0,0,0,1,7,7.0,0,98,75,833,11.11,5,0.0,0,5,0.0,0.0,114.0,189.0,192.0,151.5,0.0,40,0.0,BeasCo00
