Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Dalvin Cook,MIN,2,2,100.00%,3,0,4.1%,0,0,,0,0,.0%,All Dalvin Cook red zone receiving plays,CookDa01
Mike Davis,CHI,2,1,50.00%,5,0,3.0%,0,0,,0,0,.0%,All Mike Davis red zone receiving plays,DaviMi01
Rhett Ellison,NYG,2,1,50.00%,3,0,3.0%,1,0,0.00%,0,0,3.7%,All Rhett Ellison red zone receiving plays,ElliRh00
Myles Gaskin,MIA,2,1,50.00%,0,0,2.8%,1,1,100.00%,0,0,4.8%,All Myles Gaskin red zone receiving plays,GaskMy00
Ryan Grant,OAK,2,1,50.00%,2,0,3.3%,1,0,0.00%,0,0,3.6%,All Ryan Grant red zone receiving plays,GranRy01
Virgil Green,LAC,2,1,50.00%,14,1,2.7%,0,0,,0,0,.0%,All Virgil Green red zone receiving plays,GreeVi00
Justin Hardy,ATL,2,2,100.00%,5,0,2.6%,0,0,,0,0,.0%,All Justin Hardy red zone receiving plays,HardJu00
Tanner Hudson,TAM,2,0,0.00%,0,0,3.1%,2,0,0.00%,0,0,5.3%,All Tanner Hudson red zone receiving plays,HudsTa00
Kareem Hunt,CLE,2,1,50.00%,15,1,2.9%,0,0,,0,0,.0%,All Kareem Hunt red zone receiving plays,HuntKa00
Alec Ingold,OAK,2,2,100.00%,8,1,3.3%,1,1,100.00%,9,1,3.6%,All Alec Ingold red zone receiving plays,IngoAl01
Josh Jacobs,OAK,2,1,50.00%,4,0,3.3%,2,1,50.00%,4,0,7.1%,All Josh Jacobs red zone receiving plays,JacoJo01
Jesse James,DET,2,2,100.00%,11,0,3.3%,1,1,100.00%,3,0,2.6%,All Jesse James red zone receiving plays,JameJe00
Blake Jarwin,DAL,2,1,50.00%,1,1,3.4%,1,1,100.00%,1,1,5.0%,All Blake Jarwin red zone receiving plays,JarwBl00
Tevin Jones,PIT,2,0,0.00%,0,0,4.5%,2,0,0.00%,0,0,13.3%,All Tevin Jones red zone receiving plays,JoneTe02
Jake Kumerow,GNB,2,1,50.00%,9,0,2.7%,2,1,50.00%,9,0,6.1%,All Jake Kumerow red zone receiving plays,KumeJa00
Marcedes Lewis,GNB,2,1,50.00%,1,1,2.7%,1,1,100.00%,1,1,3.0%,All Marcedes Lewis red zone receiving plays,LewiMa00
J.D. McKissic,DET,2,1,50.00%,3,0,3.3%,1,0,0.00%,0,0,2.6%,All J.D. McKissic red zone receiving plays,McKiJ.00
Donte Moncrief,PIT,2,0,0.00%,0,0,4.5%,1,0,0.00%,0,0,6.7%,All Donte Moncrief red zone receiving plays,MoncDo00
David Montgomery,CHI,2,2,100.00%,6,1,3.0%,1,1,100.00%,3,1,3.0%,All David Montgomery red zone receiving plays,MontDa01
Stanley Morgan,CIN,2,1,50.00%,3,0,2.7%,2,1,50.00%,3,0,5.6%,All Stanley Morgan red zone receiving plays,MorgSt02
David Njoku,CLE,2,1,50.00%,3,1,2.9%,2,1,50.00%,3,1,5.4%,All David Njoku red zone receiving plays,NjokDa00
Rashaad Penny,SEA,2,1,50.00%,13,1,2.5%,0,0,,0,0,.0%,All Rashaad Penny red zone receiving plays,PennRa00
Breshad Perriman,TAM,2,2,100.00%,27,2,3.1%,0,0,,0,0,.0%,All Breshad Perriman red zone receiving plays,PerrBr02
Adrian Peterson,WAS,2,2,100.00%,20,0,3.2%,1,1,100.00%,7,0,3.1%,All Adrian Peterson red zone receiving plays,PeteAd01
Bilal Powell,NYJ,2,1,50.00%,5,0,4.1%,0,0,,0,0,.0%,All Bilal Powell red zone receiving plays,PoweBi00
Byron Pringle,KAN,2,2,100.00%,17,0,3.2%,0,0,,0,0,.0%,All Byron Pringle red zone receiving plays,PrinBy00
MyCole Pruitt,TEN,2,1,50.00%,1,1,4.3%,2,1,50.00%,1,1,10.0%,All MyCole Pruitt red zone receiving plays,PruiMy00
Seth Roberts,BAL,2,1,50.00%,15,1,3.2%,0,0,,0,0,.0%,All Seth Roberts red zone receiving plays,RobeSe00
John Ross,CIN,2,2,100.00%,15,0,2.7%,1,1,100.00%,7,0,2.8%,All John Ross red zone receiving plays,RossJo00
Darrius Shepherd,GNB,2,1,50.00%,1,0,2.7%,1,1,100.00%,1,0,3.0%,All Darrius Shepherd red zone receiving plays,ShepDa00
Devin Smith,DAL,2,0,0.00%,0,0,3.4%,2,0,0.00%,0,0,10.0%,All Devin Smith red zone receiving plays,SmitDe04
Ito Smith,ATL,2,2,100.00%,15,0,2.6%,0,0,,0,0,.0%,All Ito Smith red zone receiving plays,SmitIt00
Darren Sproles,PHI,2,2,100.00%,9,0,2.9%,0,0,,0,0,.0%,All Darren Sproles red zone receiving plays,SproDa00
Luke Stocker,ATL,2,1,50.00%,2,0,2.6%,2,1,50.00%,2,0,6.3%,All Luke Stocker red zone receiving plays,StocLu00
Tommy Sweeney,BUF,2,2,100.00%,7,0,4.2%,0,0,,0,0,.0%,All Tommy Sweeney red zone receiving plays,SweeTo00
Ian Thomas,CAR,2,2,100.00%,5,1,3.3%,2,2,100.00%,5,1,6.7%,All Ian Thomas red zone receiving plays,ThomIa00
Robert Tonyan,GNB,2,2,100.00%,23,1,2.7%,0,0,,0,0,.0%,All Robert Tonyan red zone receiving plays,TonyRo00
Malik Turner,SEA,2,1,50.00%,6,0,2.5%,0,0,,0,0,.0%,All Malik Turner red zone receiving plays,TurnMa00
Nick Vannett,PIT,2,1,50.00%,7,0,4.5%,1,0,0.00%,0,0,6.7%,All Nick Vannett red zone receiving plays,VannNi00
Spencer Ware,KAN,2,1,50.00%,3,0,3.2%,1,1,100.00%,3,0,3.4%,All Spencer Ware red zone receiving plays,WareSp00
James Washington,PIT,2,2,100.00%,16,1,4.5%,1,1,100.00%,3,1,6.7%,All James Washington red zone receiving plays,WashJa00
Darrel Williams,KAN,2,2,100.00%,14,1,3.2%,1,1,100.00%,3,1,3.4%,All Darrel Williams red zone receiving plays,WillDa10
Mo Alie-Cox,IND,1,0,0.00%,0,0,1.5%,1,0,0.00%,0,0,3.3%,All Mo Alie-Cox red zone receiving plays,AlieMo00
Javorius Allen,NYG,1,0,0.00%,0,0,1.5%,0,0,,0,0,.0%,All Javorius Allen red zone receiving plays,AlleJa01
Alex Armah,CAR,1,1,100.00%,4,0,1.6%,0,0,,0,0,.0%,All Alex Armah red zone receiving plays,ArmaAl00
Marcell Ateman,OAK,1,0,0.00%,0,0,1.7%,1,0,0.00%,0,0,3.6%,All Marcell Ateman red zone receiving plays,AtemMa00
Antony Auclair,TAM,1,0,0.00%,0,0,1.6%,0,0,,0,0,.0%,All Antony Auclair red zone receiving plays,AuclAn00
Tavon Austin,DAL,1,0,0.00%,0,0,1.7%,1,0,0.00%,0,0,5.0%,All Tavon Austin red zone receiving plays,AustTa00
Nick Bawden,DET,1,0,0.00%,0,0,1.7%,1,0,0.00%,0,0,2.6%,All Nick Bawden red zone receiving plays,BawdNi00
Nick Bellore,SEA,1,1,100.00%,3,1,1.2%,1,1,100.00%,3,1,3.1%,All Nick Bellore red zone receiving plays,BellNi01
Christian Blake,ATL,1,0,0.00%,0,0,1.3%,1,0,0.00%,0,0,3.1%,All Christian Blake red zone receiving plays,BlakCh00
Khari Blasingame,TEN,1,1,100.00%,0,0,2.1%,1,1,100.00%,0,0,5.0%,All Khari Blasingame red zone receiving plays,BlasKh00
David Blough,DET,1,1,100.00%,19,1,1.7%,0,0,,0,0,.0%,All David Blough red zone receiving plays,BlouDa00
Devontae Booker,DEN,1,1,100.00%,-1,0,1.5%,0,0,,0,0,.0%,All Devontae Booker red zone receiving plays,BookDe00
Mike Boone,MIN,1,1,100.00%,7,0,2.0%,0,0,,0,0,.0%,All Mike Boone red zone receiving plays,BoonMi00
Ben Braunecker,CHI,1,1,100.00%,18,1,1.5%,0,0,,0,0,.0%,All Ben Braunecker red zone receiving plays,BrauBe00
Jacoby Brissett,IND,1,1,100.00%,2,0,1.5%,1,1,100.00%,2,0,3.3%,All Jacoby Brissett red zone receiving plays,BrisJa00
Daniel Brown,NYJ,1,0,0.00%,0,0,2.0%,0,0,,0,0,.0%,All Daniel Brown red zone receiving plays,BrowDa04
Pharaoh Brown,CLE,1,1,100.00%,9,0,1.4%,0,0,,0,0,.0%,All Pharaoh Brown red zone receiving plays,BrowPh01
Ventell Bryant,DAL,1,1,100.00%,15,1,1.7%,0,0,,0,0,.0%,All Ventell Bryant red zone receiving plays,BryaVe00
Michael Burton,WAS,1,0,0.00%,0,0,1.6%,1,0,0.00%,0,0,3.1%,All Michael Burton red zone receiving plays,BurtMi00
Deon Cain,IND,1,0,0.00%,0,0,1.5%,1,0,0.00%,0,0,3.3%,All Deon Cain red zone receiving plays,CainDe00
Stephen Carlson,CLE,1,1,100.00%,8,1,1.4%,1,1,100.00%,8,1,2.7%,All Stephen Carlson red zone receiving plays,CarlSt00
Cethan Carter,CIN,1,1,100.00%,8,1,1.4%,1,1,100.00%,8,1,2.8%,All Cethan Carter red zone receiving plays,CartCe00
Michael Crabtree,ARI,1,1,100.00%,4,0,1.4%,1,1,100.00%,4,0,3.1%,All Michael Crabtree red zone receiving plays,CrabMi00
Sean Culkin,LAC,1,1,100.00%,12,0,1.4%,0,0,,0,0,.0%,All Sean Culkin red zone receiving plays,CulkSe00
Trevor Davis,OAK,1,1,100.00%,2,0,1.7%,1,1,100.00%,2,0,3.6%,All Trevor Davis red zone receiving plays,DaviTr03
Dion Dawkins,BUF,1,1,100.00%,1,1,2.1%,1,1,100.00%,1,1,4.8%,All Dion Dawkins red zone receiving plays,DawkDi00
Keelan Doss,OAK,1,1,100.00%,4,0,1.7%,0,0,,0,0,.0%,All Keelan Doss red zone receiving plays,DossKe00
Gus Edwards,BAL,1,1,100.00%,6,0,1.6%,0,0,,0,0,.0%,All Gus Edwards red zone receiving plays,EdwaGu00
George Fant,SEA,1,0,0.00%,0,0,1.2%,0,0,,0,0,.0%,All George Fant red zone receiving plays,FantGe00
Robert Foster,BUF,1,0,0.00%,0,0,2.1%,0,0,,0,0,.0%,All Robert Foster red zone receiving plays,FostRo01
Troy Fumagalli,DEN,1,1,100.00%,3,1,1.5%,1,1,100.00%,3,1,3.4%,All Troy Fumagalli red zone receiving plays,FumaTr00
Devin Funchess,IND,1,0,0.00%,0,0,1.5%,0,0,,0,0,.0%,All Devin Funchess red zone receiving plays,FuncDe00
Jaeden Graham,ATL,1,1,100.00%,18,1,1.3%,0,0,,0,0,.0%,All Jaeden Graham red zone receiving plays,GrahJa01
Jakeem Grant,MIA,1,1,100.00%,11,0,1.4%,0,0,,0,0,.0%,All Jakeem Grant red zone receiving plays,GranJa00
Derrius Guice,WAS,1,1,100.00%,4,0,1.6%,0,0,,0,0,.0%,All Derrius Guice red zone receiving plays,GuicDe00
Derrick Henry,TEN,1,1,100.00%,6,0,2.1%,0,0,,0,0,.0%,All Derrick Henry red zone receiving plays,HenrDe00
Dontrell Hilliard,CLE,1,0,0.00%,0,0,1.4%,1,0,0.00%,0,0,2.7%,All Dontrell Hilliard red zone receiving plays,HillDo00
KhaDarel Hodge,CLE,1,0,0.00%,0,0,1.4%,1,0,0.00%,0,0,2.7%,All KhaDarel Hodge red zone receiving plays,HodgKh00
Chris Hogan,CAR,1,0,0.00%,0,0,1.6%,1,0,0.00%,0,0,3.3%,All Chris Hogan red zone receiving plays,HogaCh00
Alexander Hollins,MIN,1,0,0.00%,0,0,2.0%,0,0,,0,0,.0%,All Alexander Hollins red zone receiving plays,HollAl00
Travis Homer,SEA,1,1,100.00%,10,0,1.2%,0,0,,0,0,.0%,All Travis Homer red zone receiving plays,HomeTr00
Jordan Howard,PHI,1,1,100.00%,6,0,1.4%,0,0,,0,0,.0%,All Jordan Howard red zone receiving plays,HowaJo00
Dontrelle Inman,LAC,1,1,100.00%,5,0,1.4%,1,1,100.00%,5,0,2.9%,All Dontrelle Inman red zone receiving plays,InmaDo00
Andy Isabella,ARI,1,0,0.00%,0,0,1.4%,1,0,0.00%,0,0,3.1%,All Andy Isabella red zone receiving plays,IsabAn00
Ryan Izzo,NWE,1,1,100.00%,10,1,1.2%,1,1,100.00%,10,1,2.4%,All Ryan Izzo red zone receiving plays,IzzoRy00
Andy Janovich,DEN,1,1,100.00%,3,0,1.5%,0,0,,0,0,.0%,All Andy Janovich red zone receiving plays,JanoAn00
Darius Jennings,TEN,1,1,100.00%,11,0,2.1%,0,0,,0,0,.0%,All Darius Jennings red zone receiving plays,JennDa00
Kerryon Johnson,DET,1,0,0.00%,0,0,1.7%,0,0,,0,0,.0%,All Kerryon Johnson red zone receiving plays,JohnKe06
Ty Johnson,DET,1,1,100.00%,1,0,1.7%,1,1,100.00%,1,0,2.6%,All Ty Johnson red zone receiving plays,JohnTy02
T.J. Jones,NYG,1,1,100.00%,4,1,1.5%,1,1,100.00%,4,1,3.7%,All T.J. Jones red zone receiving plays,JoneT.00
Dennis Kelly,TEN,1,1,100.00%,1,1,2.1%,1,1,100.00%,1,1,5.0%,All Dennis Kelly red zone receiving plays,KellDe00
Lance Kendricks,LAC,1,0,0.00%,0,0,1.4%,1,0,0.00%,0,0,2.9%,All Lance Kendricks red zone receiving plays,KendLa00
Chris Lacy,DET,1,0,0.00%,0,0,1.7%,1,0,0.00%,0,0,2.6%,All Chris Lacy red zone receiving plays,LacyCh00
Marlon Mack,IND,1,1,100.00%,2,0,1.5%,0,0,,0,0,.0%,All Marlon Mack red zone receiving plays,MackMa00
Scott Miller,TAM,1,1,100.00%,8,0,1.6%,1,1,100.00%,8,0,2.6%,All Scott Miller red zone receiving plays,MillSc01
Steven Mitchell,HOU,1,0,0.00%,0,0,1.6%,1,0,0.00%,0,0,4.2%,All Steven Mitchell red zone receiving plays,MitcSt02
Ty Montgomery,NYJ,1,1,100.00%,3,0,2.0%,1,1,100.00%,3,0,5.6%,All Ty Montgomery red zone receiving plays,MontTy01
Isaac Nauta,DET,1,0,0.00%,0,0,1.7%,1,0,0.00%,0,0,2.6%,All Isaac Nauta red zone receiving plays,NautIs00
Roosevelt Nix,PIT,1,0,0.00%,0,0,2.3%,1,0,0.00%,0,0,6.7%,All Roosevelt Nix red zone receiving plays,NixxRo01
Josh Oliver,JAX,1,1,100.00%,6,0,1.7%,1,1,100.00%,6,0,3.0%,All Josh Oliver red zone receiving plays,OlivJo00
Senorise Perry,BUF,1,1,100.00%,1,0,2.1%,0,0,,0,0,.0%,All Senorise Perry red zone receiving plays,PerrSe00
Troymaine Pope,LAC,1,1,100.00%,13,1,1.4%,0,0,,0,0,.0%,All Troymaine Pope red zone receiving plays,PopeTr00
David Quessenberry,TEN,1,1,100.00%,1,1,2.1%,1,1,100.00%,1,1,5.0%,All David Quessenberry red zone receiving plays,QuesDa00
Patrick Ricard,BAL,1,1,100.00%,1,1,1.6%,1,1,100.00%,1,1,3.3%,All Patrick Ricard red zone receiving plays,RicaPa00
Jason Sanders,MIA,1,1,100.00%,1,1,1.4%,1,1,100.00%,1,1,4.8%,All Jason Sanders red zone receiving plays,SandJa00
Jaleel Scott,BAL,1,0,0.00%,0,0,1.6%,1,0,0.00%,0,0,3.3%,All Jaleel Scott red zone receiving plays,ScotJa02
Anthony Sherman,KAN,1,1,100.00%,15,0,1.6%,0,0,,0,0,.0%,All Anthony Sherman red zone receiving plays,SherAn00
Scott Simonson,NYG,1,1,100.00%,10,0,1.5%,0,0,,0,0,.0%,All Scott Simonson red zone receiving plays,SimoSc00
Lee Smith,BUF,1,1,100.00%,8,1,2.1%,1,1,100.00%,8,1,4.8%,All Lee Smith red zone receiving plays,SmitLe00
Durham Smythe,MIA,1,0,0.00%,0,0,1.4%,0,0,,0,0,.0%,All Durham Smythe red zone receiving plays,SmytDu00
Jace Sternberger,GNB,1,0,0.00%,0,0,1.4%,0,0,,0,0,.0%,All Jace Sternberger red zone receiving plays,SterJa00
Geoff Swaim,JAX,1,0,0.00%,0,0,1.7%,1,0,0.00%,0,0,3.0%,All Geoff Swaim red zone receiving plays,SwaiGe00
Jordan Thomas,HOU,1,0,0.00%,0,0,1.6%,1,0,0.00%,0,0,4.2%,All Jordan Thomas red zone receiving plays,ThomJo05
Levine Toilolo,SFO,1,1,100.00%,2,0,1.4%,1,1,100.00%,2,0,2.6%,All Levine Toilolo red zone receiving plays,ToilLe00
Ross Travis,IND,1,0,0.00%,0,0,1.5%,1,0,0.00%,0,0,3.3%,All Ross Travis red zone receiving plays,TravRo00
John Ursua,SEA,1,1,100.00%,11,0,1.2%,0,0,,0,0,.0%,All John Ursua red zone receiving plays,UrsuJo00
Vita Vea,TAM,1,1,100.00%,1,1,1.6%,1,1,100.00%,1,1,2.6%,All Vita Vea red zone receiving plays,VeaxVi00
Danny Vitale,GNB,1,0,0.00%,0,0,1.4%,1,0,0.00%,0,0,3.0%,All Danny Vitale red zone receiving plays,VitaDa00
Mark Walton,MIA,1,0,0.00%,0,0,1.4%,0,0,,0,0,.0%,All Mark Walton red zone receiving plays,WaltMa00
Deshaun Watson,HOU,1,1,100.00%,6,1,1.6%,1,1,100.00%,6,1,4.2%,All Deshaun Watson red zone receiving plays,WatsDe00
Derek Watt,LAC,1,0,0.00%,0,0,1.4%,1,0,0.00%,0,0,2.9%,All Derek Watt red zone receiving plays,WattDe00
Trevon Wesco,NYJ,1,0,0.00%,0,0,2.0%,1,0,0.00%,0,0,5.6%,All Trevon Wesco red zone receiving plays,WescTr00
DeAndrew White,CAR,1,0,0.00%,0,0,1.6%,1,0,0.00%,0,0,3.3%,All DeAndrew White red zone receiving plays,WhitDe01
Christian Wilkins,MIA,1,1,100.00%,1,1,1.4%,1,1,100.00%,1,1,4.8%,All Christian Wilkins red zone receiving plays,WilkCh00
Jordan Wilkins,IND,1,0,0.00%,0,0,1.5%,0,0,,0,0,.0%,All Jordan Wilkins red zone receiving plays,WilkJo01
Duke Williams,BUF,1,1,100.00%,7,1,2.1%,1,1,100.00%,7,1,4.8%,All Duke Williams red zone receiving plays,WillDu01
Luke Willson,SEA,1,0,0.00%,0,0,1.2%,1,0,0.00%,0,0,3.1%,All Luke Willson red zone receiving plays,WillLu00
Jeff Wilson,SFO,1,0,0.00%,0,0,1.4%,1,0,0.00%,0,0,2.6%,All Jeff Wilson red zone receiving plays,WilsJe01
T.J. Yeldon,BUF,1,0,0.00%,0,0,2.1%,0,0,,0,0,.0%,All T.J. Yeldon red zone receiving plays,YeldT.00
Brandon Zylstra,CAR,1,1,100.00%,3,0,1.6%,0,0,,0,0,.0%,All Brandon Zylstra red zone receiving plays,ZylsBr00